StandardConcentration,OpticalDensity
2000,1.24643366666667
1500,0.974100333333333
1000,0.642633666666667
750,0.574967
500,0.372567
250,0.197733666666667
125,0.100900333333333
25,0.017367
0,0.000244666666667
